id	name	code	hsn	tax_pct
3399	TUB CHOCO BROWNIE FUDGE  700ML	8901030783661	21050000	18.00
3400	CUP SUHDAEZ DREAMY CHOCO 100ML	8901030783524	21050000	18.00
3401	LIPTIN GREEN TEA HONEY LEMON  10 TEA BAGS	8901030783241	09023020	5.00
3402	LIPTON GREEN TEA	8901030779640	09021010	5.00
3403	LIPTON GREEN TEA TULSI	8901030779312	09023020	5.00
3404	LIPTON GREEN TEA  25TEA BAGS	8901030779282	09023020	5.00
3405	LUX ROSE & SWISS MOSTURISERS  35G	8901030778995	34011190	18.00
3406	DAZZLI TUTTI FRUTTI 700ML	8901030776014	21050000	18.00
3407	BLUSHING STRAWBERRY 700ML	8901030775925	21050000	18.00
3408	MAJESTIC KESAR PISTA 700ML	8901030775826	21050000	12.00
3409	FRUITANG BLACKCURRANT 700ML	8901030775802	21050000	18.00
3410	DIISC OREO 110ML	8901030771699	21050000	18.00
3411	PEARS SOAP 214/-	8901030771293	34011190	18.00
3412	PEARS PURE &GENTIE  GLOU SOAP 250ML	8901030768934	34011190	18.00
3413	AXE DENIM SHAVNG CREAM 60G	8901030767517	33071010	18.00
3414	PEARS 100G	8901030766947	34011190	18.00
3415	PEARS PURE &GENTLE GLOW 300G	8901030764172	34011190	18.00
3416	RIN ALA 500ML	8901030761195	NA	18.00
3417	RIN ALA 200ML	8901030761188	34025000	18.00
3418	PEARESNUTURALR ALOVERA BODY WASH 250ML	8901030753992		18.00
3419	SANDWICE CHOCOLATE& VANILLA 52G	8901030744563	21050000	18.00
3420	BRU INSTANT 2/-	8901030742392	21011120	18.00
3421	STK AAMRAS 70ML	8901030739002	21050000	18.00
3422	RIN 1KG	8901030737084	NA	18.00
3423	CHOCO CONE 45ML	8901030736797	21050000	18.00
3424	TUB OREO 700ML	8901030735363	21050000	18.00
3425	TWICE AS NICE FRUIT &NUT 56G	8901030735349	21050000	18.00
3426	TUB ICE CREAM CHOCOCHIP 700ML	8901030735325	21050000	18.00
3427	TUB BUTTERSCOTCH 700ML	8901030735110	1821050000	18.00
3428	TUB ALPHONSO MANGO  700ML	8901030735103	1802105000	18.00
3429	TUB ICE CREAM VANILLA 700ML	8901030735097	21050000	18.00
3430	SURF EXCEL EASY WASH 500ML	8901030732331	34025000	18.00
3431	STK SHAHI KULFI 50ML	8901030731372	21050000	18.00
3432	KOREAN RAMEN SPICY GOCHUJANG CHICKEN  91G	8901030726590	19023010	18.00
3433	SURF EXCEL EASY WASH LIQUID 1L	8901030725685	34011990	18.00
3434	HORLICKS BISCUIT 300G	8901030718946	19053100	18.00
3435	HORLICKS BISCUITS 75G	8901030718861	19053100	18.00
3436	RAJWADI BITE	8901030717826	NA	18.00
3437	AMERICAN NUTS BAR	8901030717185	NA	12.00
3438	PEPSODENT DEEP CLEAN 30/-	8901030715617	96032100	18.00
3439	DOVE 23/-	8901030712999	34011190	5.00
3440	PONDS BEAUTY FW 12G	8901030712692	33049910	18.00
3441	INDULEKHA BRINGHA SHAMPOO 200ML	8901030707117	33051090	18.00
3442	INDULEKHA HAIRFALL SHAMPOO 100ML	8901030707100	33051090	18.00
3443	STK ORANGE MAHABAR 65 ML	8901030704741	21050000	18.00
3444	PONDS HYDRA MIRACLE 25ML	8901030702761	33049930	18.00
3445	KISSAN NO ONION NOGARLIC  TOMATO SAUCE 415G	8901030702679	21032000	12.00
3446	SUNLIGHT MATIC LIQUID 800ML	8901030702457	NA	18.00
3447	SUNLIGHT  MATIC LIQUID 430ML	8901030702341	34025000	18.00
3448	CHOCO BROWNIE FUDGE 700ML	8901030698651	121050000	18.00
3449	HELLMANNS MAYONNAISE 375GM	8901030698316	21039030	12.00
3450	SURF EXCEL MATIC 500ML	8901030695612	34025000	18.00
3451	SURF EXCEL MATIC TOP LOAD 500ML	8901030695490	NA	18.00
