id,code,name,old_hsn,new_hsn,old_mrp,new_mrp,old_sale_price,new_sale_price,old_purchase_price,new_purchase_price,old_tax_pct,new_tax_pct
2980,8901063146464,WINKIN COW STRAWBRRY PET 180ML,19054000,19054000,35.00,35.00,35.00,35.00,31.10,28.81,18.00,5.00
2981,8901063146457,WINKIN COW CHOCO PET 180 ML,19054000,19054000,37.00,35.00,37.00,35.00,25.80,28.81,18.00,5.00
2987,8901063142855,BRITANNIA NUTRI CHOICE  DIGESTIVE ZERO 100G,19053100,19053100,30.00,30.00,30.00,30.00,26.00,26.83,18.00,5.00
3000,8901063141063,PURE MAGIC CHOCO CREME 100G,19053100,19053100,30.00,31.00,30.00,31.00,26.10,27.00,18.00,5.00
3005,8901063139213,BOURBON 150 48PK RC,190531000,190531000,35.00,35.00,35.00,35.00,31.00,31.88,18.00,5.00
3006,8901063138575,NUTRI CHOICE 10,NA,NA,10.00,10.00,10.00,10.00,9.00,9.11,18.00,5.00
3007,8901063138544,BRITANNIA NUTRI CHOICE ARROWROOT,19053100,19053100,5.00,5.00,5.00,5.00,4.00,4.55,18.00,5.00
3041,8901063032989,BRITANNIA PURE MAGIC CHOCO STARS,19053100,19053100,25.00,25.00,25.00,25.00,22.00,22.36,18.00,5.00
3043,8901063032941,TREAT WAFERS CHOCO 31G 144PK,19053100,19053100,10.00,10.00,10.00,10.00,8.50,8.95,18.00,5.00
3050,8901063032446,CROISSANT COCOA GT 45G 2,19059010,19059010,20.00,20.00,20.00,20.00,14.70,18.05,18.00,5.00
3066,8901063026209,NC NATURE SPICE 300G 24PK CBB 0,19053100,19053100,45.00,45.00,45.00,45.00,39.70,40.98,18.00,5.00
3070,8901063019249,LITTLE HEARTS 30/-,19053100,19053100,30.00,30.00,30.00,30.00,22.70,27.32,18.00,5.00
3071,8901063019232,LITTLE HEARTS 10/-,04039090,04039090,10.00,10.00,10.00,10.00,9.00,9.11,18.00,5.00
3105,8901058903164,KITKAT BAR 30/-,18069010,18069010,30.00,30.00,30.00,30.00,26.00,27.00,18.00,5.00
3107,8901058901641,LACTOGEN PRO 4,19011090,19011090,427.50,450.00,427.50,427.50,412.80,412.84,18.00,5.00
3108,8901058901627,NESTLE LACTOGROW PRO 3,19011090,19011090,427.50,450.00,427.50,427.50,399.00,412.85,18.00,5.00
3127,8901058028645,CERELAC WHEAT APPLE 360G,,,266.00,280.00,266.00,266.00,256.80,256.88,18.00,5.00
3136,8901058024401,KITKAT RS-10/-,19053211,19053211,10.00,10.00,10.00,10.00,9.00,8.95,18.00,18.00
3140,8901058023763,MAGGI NOODLES 600G,NA,NA,114.00,116.00,114.00,114.00,0.00,106.42,18.00,5.00
3148,8901058020021,MUNCH NUTS MAX  37.5G,19053211,19053211,30.00,25.00,30.00,30.00,21.00,22.42,18.00,18.00
3155,8901058018608,CERELAC STG 5 GARIN FRUIT,19011090,19011090,284.05,299.00,284.05,284.05,274.00,274.31,18.00,5.00
3156,8901058018592,CERELAC STG 5 GRAIN VEG,19011090,19011090,284.05,299.00,284.05,284.05,247.30,274.31,18.00,5.00
3157,8901058018585,NASTLE  CERELAC 5GRAINS & FRUITS 300G,19011090,19011090,284.05,299.00,284.05,284.05,274.31,274.31,18.00,5.00
3158,8901058018578,CERELAC STG 4 MU FRUIT,19011090,19011090,280.25,295.00,280.25,280.25,270.64,270.64,18.00,5.00
3159,8901058018561,CERELAC STG 3 WHEAT RICE MIX VEG,19011090,19011090,275.50,290.00,275.50,275.50,266.00,266.06,18.00,5.00
3162,8901058018400,CERELAC STG4 MU DAL VEG,19011090,19011090,237.50,295.00,237.50,280.25,269.00,270.64,18.00,5.00
3166,8901058017687,MAGGI NOODLES 15/-,19023010,19023010,15.00,15.00,15.00,15.00,13.76,13.61,18.00,5.00
3170,8901058017571,CERELAC STAGE 2 RICE VEG,19011090,19011090,261.25,290.00,261.25,275.50,252.20,266.06,18.00,5.00
3178,8901058015829,CERELAC STG 1 RICE,19011090,19011090,237.50,250.00,237.50,237.50,229.30,229.36,18.00,5.00
3190,8901058010749,MAGGI 2MINUTE NOODLES  70G,19023010,19023010,58.00,58.00,58.00,58.00,51.30,51.37,18.00,5.00
3191,8901058010565,MAGGI 6 PACK B,19023010,19023010,86.00,87.00,86.00,86.00,76.10,75.39,18.00,5.00
3193,8901058009705,MASALA  VEG ATTA NOODLES 72.5G,19023010,19023010,105.00,108.00,105.00,105.00,98.10,98.18,5.00,5.00
3194,8901058009439,MUNCH 5/-,18069010,18069010,5.00,5.00,5.00,5.00,4.40,4.44,18.00,18.00
3195,8901058008906,LACTOGEN PRO 2,19011090,19011090,427.50,450.00,427.50,427.50,412.80,412.84,18.00,5.00
3196,8901058007718,NAN PRO4 FU,19011090,19011090,717.25,775.00,717.25,736.25,692.60,711.01,18.00,5.00
3197,8901058007701,NAN PRO3 FU,19011090,19011090,736.25,775.00,736.25,736.25,711.00,711.01,18.00,5.00
3232,8901052000906,TATA TEA GOLD 500GM,09024020,09024020,247.00,260.00,247.00,247.00,208.00,219.05,5.00,5.00
3233,8901052000807,TATA TEA GOLD 250GM,09024020,09024020,125.00,135.00,125.00,125.00,116.00,112.38,5.00,5.00
3248,8901030986024,HORLICKS CHOCOLATE DELIGHT 400G,19019090,19019090,151.05,159.00,151.05,151.05,147.20,144.28,18.00,5.00
3279,8901030959257,SUNLIGHT 500GM,34025000,34025000,50.00,52.00,50.00,50.00,47.40,47.43,18.00,18.00
3317,8901030922787,KISSAN MIXED FRUIT JAM 90GM,20079990,20079990,25.00,25.00,25.00,25.00,22.90,22.94,12.00,5.00
3342,8901030897542,KISSAN FRESH TOMATO KETCHUP 15/-,21032000,21032000,15.00,15.00,15.00,15.00,14.00,13.49,12.00,5.00
3351,8901030877179,RED LABEL 100G,09023020,09023020,30.00,30.00,30.00,30.00,26.00,26.79,5.00,5.00
3394,8901030815904,V-WASH  S,340220,340220,47.50,50.00,47.50,47.50,38.35,39.31,18.00,18.00
3434,8901030718946,HORLICKS BISCUIT 300G,19053100,19053100,38.00,40.00,38.00,38.00,33.50,35.36,18.00,5.00
3435,8901030718861,HORLICKS BISCUITS 75G,19053100,19053100,10.00,10.00,10.00,10.00,8.80,8.84,18.00,5.00
3467,8901030538421,VIM GEL 200ML,34025000,34025000,25.00,25.00,25.00,25.00,21.00,21.76,18.00,18.00
